SentimentValue,SerialNumber,Tweet,,,,,,
0,331,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",,,,,,
0,332,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she�s not well ",,,,,,
0,333,didn't get shit done today ~ i'm so screwed ,,,,,,
0,334,wanttss to go out ,,,,,,
0,335,Is not going to sleep tonite. ,,,,,,
0,336,too worried and tired to post tonight ,,,,,,
4,337,@ben_mayer better be. I don't wanna have to come find u and save the dog. But I would!  I'm all 4 the animals . Call off the twit police,,,,,,
4,338,"@klaris nilagyan mo ng knorr seasoning mix ulit ung pancakes mo?! hehehe. teka, heaven and eggs ba to? ",,,,,,
4,339,@Westneyrhindxx hello westney  what are you doing ?? x,,,,,,
4,340,@WhereisKevinn well my night seems pretty boring in comparison to the strokes you've experienced tonight ,,,,,,
4,341,@jephjacques I love the way you draw giraffe eyelashes. ,,,,,,
4,342,@SwitchItNow ahhh shiner Bock in Austin YES! thanks for the Twitter @reply so I can relive too ,,,,,,
0,343,couldn't get shit done today ~ i'm so screwed ,,,,,,
4,344,@holytshirt Glad to read it! ,,,,,,
4,345,spent the evening outside in the beautiful warm weather. finally feels like spring ,,,,,,
4,346,pullin an all nighter wit my bffl madison ,,,,,,
0,347,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",,,,,,
4,348,@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! ,,,,,,
4,349,"I don't know why I still find this hilarious after hearing it like 200 times in a row, but I doooo  ? http://blip.fm/~3x8ok",,,,,,
0,350,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",,,,,,
4,351,@thenub you are too ,,,,,,
4,352,@jimmycarr that big oaf can play piano? ,,,,,,
4,353,Bryon is my tea bitch ,,,,,,
4,354,"@mattbraga Oh, they can stay. You on the other hand... ",,,,,,
4,355,I am gonna help my mom get a twitter ,,,,,,
4,356,@lavsmohan...... Yup!! saw the entire match....reached office late.. ,,,,,,
4,357,"going to bed. My bb isn't working &amp; I'm bored.  Night all. Love me harder tomorrow, than you did today. Peace, Prayers, &amp; Blessings.",,,,,,
4,358,@DEEJAY_BOOGIE ya we did trying to beat traffic but ya hope to be back soon ,,,,,,
4,359,"India wins a test series in New Zealand after 41 years! If it wasnt for rain on the final day, India would have won the third test too ",,,,,,
4,360,@ashvala Was driving in Old madras road on my bike!! There is no concept called parking on the side ,,,,,,
4,361,@upstatement can I apply to be in your class too? ,,,,,,
4,362,is reading manga  http://plurk.com/p/mzp1e,,,,,,
4,363,@BradmanTV Thanks....it seemed the right moment. I love your show.  Your songs bring me joy.,,,,,,
4,364,@Adri_Mane ROflmao... niqqa please. you ackin' a fool now. ,,,,,,
4,365,@comeagainjen http://twitpic.com/2y2lx - http://www.youtube.com/watch?v=zoGfqvh2ME8 ,,,,,,
0,366,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now,,,,,,
4,367,"@vjl also, your website seems to be down, FYI. pity, I wanted to check it out  sure you knew that though.",,,,,,
4,368,@LindzNicole so let's make it right! ,,,,,,
0,369,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. ",,,,,,
4,370,"@Lexi_83 We.... went professional in October 2008, we've just not update any of our websites or anything until yesterday ",,,,,,
4,371,@rhonda_brown thanks for the tip on Sam's Club! ,,,,,,
0,372,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,,,,,,
4,373,@KourtneyKardash yep Mornings are the Best! nighttime is chill time ,,,,,,
4,374,@pocketfulofme yay!!! hehe TWINS ,,,,,,
0,375,i hate to see the spartans so sad ,,,,,,
4,376,@jolilore Thank you ,,,,,,
4,377,"&quot;City of Ember&quot; was AWESOME!!! SO have to finish the book and read the next one (ones?) now.  Time for bed possibly? Who knows, really. XD",,,,,,
4,378,"OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good ",,,,,,
4,379,@trugiaz You and i mate! ,,,,,,
4,380, just watched the movie Wanted... it was pretty darn good.,,,,,,
4,381,just got home from Neil's. watched Nick &amp, Nora's Playlist... pretty funny  ,,,,,
0,382,My mind and body are severely protesting this &quot,getting up&quot,  thing. Had nightmares to boot ,,,,
4,383,"@theexclamation ah yes, twitter seems to be the perfect venue for whining and wasting time.  now that's my idea of fun ",,,,,,
4,384,@donniewahlberg hell yeah! there's the effin man! ,,,,,,
4,385,@roshnimo Dont be lazy............try a few out.... tools are to make life easy for lazy people ,,,,,,
4,386,"@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai ",,,,,,
0,387,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!",,,,,,
4,388,Thinks everyone needs to go buy Tina Parol's song Who's Got Your Money on iTunes ... NOW! ,,,,,,
4,389,can't wait for vegas ,,,,,,
4,390,@theDebbyRyan Hey Debby ,,,,,,
4,391,One sixty six in bowling. Holy shit lol ,,,,,,
4,392,"dear dbq, you were a pain in the asssss. i'm glad i'm DONE with you! ",,,,,,
4,393,and now off to bed after an amazing night chatting with a pretty amazing guy  ( you know who you are),,,,,,
4,394,"@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? ",,,,,,
4,395,"has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations ",,,,,,
4,396,"Didn't get my nap before, thinking I really need one now. Be back later, twitterpeeps. ",,,,,,
4,397,Trying to figure out a way to pay it forward ,,,,,,
0,398,@mandayyy ,,,,,,
4,399,oh oh oh!!! gonna go buy Twilight on DVD today  I have to extend my overdraft for the 2nd time in as many weeks so I may aswell!!,,,,,,
4,400,my very first twitter  awww,,,,,,
4,401,@SimonBotes glad you like ,,,,,,
4,402,"@lightblue_82 woo, you won't regret it. ",,,,,,
4,403,@theaptour thanks so much ,,,,,,
4,404, Please?: http://eluts.com/frontstore/Item/item_zoom.asp?item_num=3418&amp,catalog_num=3&amp,mart_id=lutsdoll&amp,level=yes&amp,mother_catalog_num=554,,
4,405,@SJS86 haha i saw that one the other day. sad. i'm entirely too addicted to that site now. endless laughs ,,,,,,
0,406,@twista202 I think I want to read some books but the library doesn't have them ,,,,,,
4,407,@lolly2420 this is nuts! thanks  I am dying over heah!,,,,,,
0,408,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,,,,,,
0,409,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,,,,,,
4,410,"@markhoppus hey mark, i want to know if the song &quot;Life's So Boring&quot; is really blink 182 , please tell me  doubt been on my head for years",,,,,,
4,411,"@Kelly_N_Va by Jordan, I think he's got it!  ",,,,,,
4,412,"up and running, London calling ",,,,,,
4,413,"What A Day  I Just Loved It. Sun, Food And My Girls  Cannot Be Beaten. Eyyy! I Bused It Home Tooo Hahaa. Have An Ace Time Darl.  xxxx",,,,,,
4,414,just got home from school (: meant to be getting my hair cut .. but i cbf. lol dancing soon ,,,,,,
4,415,"Sleeeeeeeeeep, then an interview tomorrow! Wish me luck ",,,,,,
0,416,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,,,,,,
0,417,Awwh babs... you look so sad underneith that shop entrance of &quot,Yesterday's Musik&quot,  O-: I like the look of the new transformer movie ,,,,
4,418,Awwh babs... you look so sad underneith that shop entrance of &quot,Yesterday's Musik&quot,  O-: I like the look of the new transformer movie ,,,,
4,419,@lauredhel I just friended you on LJ ,,,,,,
4,420,eating ice cream to reduce the heat ,,,,,,
4,421,wow san diego is so beautiful. even more so now that we won  but whats a good game without a good fight(,,,,,,
4,422,@epistemographer @digitalhumanist Doing a disciplinary PhD with the support/structure of a New Media program like that sounds heavenly ,,,,,,
0,423,sad that the 'feet' of my macbook just fell off ,,,,,,
4,424,"must sleep, big day tomorrow. two tests AND class registration for next sem. ahh! goodnight, twitterers ",,,,,,
4,425,"@claire_brewer I've seen one of those aisles in Borders in Oxford. They're... well, tragic ",,,,,,
4,426,@thornbek Erin Esurance is so hot. Carry on ,,,,,,
4,427,@Boobookittifukk not there yet. And i beleive so  red carpet sighting i hope.,,,,,,
4,428,the cars in Fast and Furious get me excited ,,,,,,
4,429,@comeagainjen Jennifer ,,,,,,
4,430,@betzitall Wall-E is a great battle for stress.   Yay for staying up all night and doing homework together!,,,,,,
4,431,"It's been a while since i have watched the Cosby Show, i forgot how funny it was  BUT CAN'T SLEEP THOUGH grrrrr",,,,,,
4,432,"@landrew Hehe, thanks   Was going for the incendiary headline this time ",,,,,,
4,433,@honeytech Happy Morning! ,,,,,,
4,434,"@SashaKane Um, my kids get up at 5am &amp; need their breakfasts cooked, you ready? ",,,,,,
4,435,@saad_83 I wasn't late  I was right on time,,,,,,
4,436,@myk14 Thanks buddy *high fives* hehe ,,,,,,
4,437,@sytycda Could not agree more!The unison&amp, committment was incredible.Considering the pressure they r under made it all the more amazing ,,,,,
4,438,"@cityrat59 lol! you counted 15 times! Yeah, it was a drag today...wasn't sure if my tweets were going out. seems to behave now though ",,,,,,
0,439,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad ,,,,,,
4,440,@comeagainjen http://twitpic.com/2y2lx - and you are cooler than her she just wants the babiiesss O_O HAHAHAHA ,,,,,,
4,441,@reesh heyyyyyy want to hook it up!! lol ,,,,,,
4,442,Saddle Ranch Comedy night. Then back to the boy's house ,,,,,,
4,443,Today I performed for the first and last time at the Grebel talent show. 4 exams left until undergrad is over ,,,,,,
4,444,@xShorty4Lifex white!! ,,,,,,
4,445,"@thesouthernstar haha... sarapan aja belum kok, udah disamperin sama client di rumah...  ",,,,,,
4,446,@JonathanRKnight  i do embrace the simple life.  simple things like a new kids reunion makes me an extremely happy girl ,,,,,,
4,447,"@lapcat Need to send 'em to my accountant tomorrow. Oddly, I wasn't even referring to my taxes. Those are supporting evidence, though. ",,,,,,
4,448,"@mmcallen Sigh, wish I could have a GMIC meeting here in San Diego! Spoke to Johanna already, she said it was great... ",,,,,,
0,449,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  ",,,,,,
0,450,"Has now gotten somebody to read his tweets, but cant get them to make an account. ",,,,,,
0,451,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,,,,,,
0,452,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,,,,,,
0,453,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,,,,,,
0,454,@breadandbadger Congrats!!  i totally forgot to submit photos ,,,,,,
0,455,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",,,,,,
0,456,@imaginarypeach now your leaving me  .... -gets sad-,,,,,,
0,457,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. ",,,,,,
0,458,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,,,,,,
0,459,Tuesday�ll start with reflection �n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,,,,,,
0,460,What tragedy and disaster in the news this week ,,,,,,
0,461,yes yes still trying to find a picture that will upload correclty.. ,,,,,,
0,462,Why oh why was the Red Sox game rained out? I was so looking forward to opening day ,,,,,,
0,463,I still can't find my keys. ,,,,,,
0,464,@charlietm I know right. I dunno what is going on with twitter. ,,,,,,
0,465,might be getting a sore throat again ,,,,,,
0,466,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,,,,,,
0,467,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,,,,,,
0,468,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,,,,,,
0,469,is in the bathroom... wake up lakin. ,,,,,,
0,470,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt,3,,,,,
0,471,"im lonely  keep me company! 22 female, california",,,,,,
0,472,bad day at the betfair office ,,,,,,
0,473,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!,,,,,,
0,474,I'm really cold. I don't want to go to sleep yet but there's nothing to do ,,,,,,
0,475,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! ,,,,,,
0,476,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken,,,,,,
0,477,@miss_om Aww  I know I felt like that yesterday at work ,,,,,,
0,478,@SarahReedSC treaty isn't defined ,,,,,,
0,479,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt,pout&gt,,,,,
0,480,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx,,,,,,
0,481,Missing My BFF  watching home and away it reminds me of her and me  we &lt,3 It. shout out to u courts,,,,,
0,482,@mandayyy   ,,,,,,
0,483,New video card is DOA. ,,,,,,
0,484,"feeling lost, naked and confused (JK, sort of).....no iphone for me. ",,,,,,
0,485,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work ",,,,,,
0,486,missed Brent at praise band.  No fun to not have your lead guitarist. &lt,pout&gt,,,,,
0,487,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah,,,,,,
0,488,has lost his ring. It's no-where to be seen ,,,,,,
0,489,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY.",,,,,,
0,490,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick ,,,,,,
0,491,Is fucked to go back to IC ,,,,,,
0,492,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. ,,,,,,
0,493,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can,,,,,,
0,494,@kissability Me too I is poor ,,,,,,
0,495,help me forget 8th april &amp, 13th july! ,,,,,
0,496,"dierks bentley is comin' to columbus, OH!! i wanna go so bad ",,,,,,
0,497,i have to take my sidekick back. ,,,,,,
0,498,@chriscantore congrats! I'm totally jealous! only wish my XM was working ,,,,,,
0,499,gr8t my face is very itchy ,,,,,,
0,500,poor socks  luvvvvv the golden retriever!! I want one sighhhh,,,,,,
0,501,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible ,,,,,,
0,502,Aaaaand the nausea is back. ,,,,,,
0,503,@DonnieWahlberg ooh I�m excited and not even going 2 be there  long love YOUTUBE!,,,,,,
0,504,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..,,,,,,
4,505,had a wonderful Portland evening! Thanks Carrie ,,,,,,
4,506,6:37 in the morning and haven't been sleep   YAY!,,,,,,
4,507,Headed off to Wal*Mart for more boxes. Uber excited ,,,,,,
4,508,@axisportals scowls are a lot more temporary than adulthood ,,,,,,
4,509,I'm melting. *sighs* Serendipity is such a sweet sweet movie. I love it. ,,,,,,
0,510,@mathewsmichael  i agree... the jobros dont update theres very often ,,,,,,
4,511,@JonathanRKnight wake up with ah Jon tweet. The Best start for my day  thx Jon love You,,,,,,
4,512,Got an inspiration -&gt, dyeing my hair! ,,,,,
0,513,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link ,,,,,,
4,514,just  created this account...looking around ,,,,,,
4,515,@amyg0716 I'm gunnna do both of those things ,,,,,,
4,516,"http://twitpic.com/2y2tq - So far, it is interesting. ",,,,,,
0,517,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),,,,,,
0,518,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",,,,,,
4,519,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",,,,,,
0,520,@bostongarden I miss bentley ,,,,,,
4,521,"@craigsutton     that's a long-time, good for you!   ",,,,,,
4,522,(@thuquoc) jizzin' in my pants excited about seeing ARMIN VAN BUUREN tomorrow ,,,,,,
4,523,"@mehulbhuva Good luck, and let me know how it goes! ",,,,,,
4,524,"@tayswift Congrats from Peru! You were/are amazing! i was speechless,thank u so much! come here someday plz, ill wait forever seriously! ",,,,,,
0,525,seriously needs to finish these job applications ,,,,,,
4,526,@rogieking Congrats on the newborn! Our first is due in June ,,,,,,
4,527,Dodgers beat the Padres  Go Blue!,,,,,,
4,528,@jbruin lol esp when your updates hit my phone... ,,,,,,
4,529,@JonathanRKnight I'm just glad you appreciate Iowa.    Come back in late summer when they're cutting hay...  best..smell.. EVER!,,,,,,
4,530,"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!",,,,,,
4,531,@vuittonretarded  awww. Is there anything i can do ,,,,,,
4,532,But I do not mind.  Goodnight,,,,,,
4,533,@mistressathenax oh lets let it be a surprise. ,,,,,,
4,534,Proud future member of the R.B. ,,,,,,
4,535,@miss_tattoo heyy!  you got those pictures of Donnie's gift on the USB stick?! ,,,,,,
4,536,Giant Drag &quot,Wicked Game&quot, ? http://twt.fm/32811 #musicmonday - Better than the original &amp, the commercial promo song for Nip/Tuck season 5! ,,,
4,537,@web20classroom Fabulous post about WordAhead!  And overall loved your blog.,,,,,,
4,538,Much Luv to @espressowoman54 &amp, @tommyruffin who's now following me on twitter!! ,,,,,
0,539,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids",,,,,,
4,540,@KendallMassey @jclayville rocks. But don't tell her I said that ,,,,,,
4,541,"@Gerry_Butler If it's something you will enjoy and will make you happy, why not do it? ",,,,,,
4,542,"just discovered tonight that her church is serving breakfast on Easter!  (I'm not sure why this is so exciting, but I suspect the baby...)",,,,,,
4,543,@Tiandrance ,,,,,,
4,544,@yoavsegal Morning ,,,,,,
4,545,finally back on twitter ,,,,,,
4,546,God sho love him some me  feeling really really blessed tonight++++++,,,,,,
4,547,@adamdexter i can't wait to see you buddy ,,,,,,
0,548,Whinging. My client&amp,boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp,reviewed correctly. ,,,,
0,549,@huntermoore I don't want him to ever punch me.  ,,,,,,
4,550,@allan_at_rogue thanks Allan! They are photos from a Joolz Soiree I held up in Brisbane last year ,,,,,,
4,551,there is link about how to enjoy dark chocolate within the post..  http://chai-coffee.blogspot.com/2009/04/chocolate-flavoured-math.html,,,,,,
4,552,"@chazdrums if i know how to do something, and have time... Its so easy to answer ",,,,,,
0,553,sooo sick of the snow  ughh,,,,,,
4,554,"Wow, the house looks so different...AND OH MY GOD MY DOGGIES ",,,,,,
4,555,ahhh loved this sunny day....I am working a good sun burn on my nose ,,,,,,
4,556,@FoamingBBQ I had to read it last semester.  By &quot,read&quot, I mean skim for keywords and read online outlines.   Got an A too ,,,,
4,557,@dalecruse Yay! Love Box.net  My first business partner Sam Ghods is on the founding team. SO proud of him 4 building an excellent utility,,,,,,
4,558,@JonathanRKnight Glad to hear that you had such a great night! You rock &amp, I hope tonight is just the 1st of many feel good shows for you! ,,,,,
4,559,Anyone else catch Scott Bakula's &quot,Oh Boy&quot, in #Chuck tonight?  ,,,,
4,560,@fatbellybella the media is a trip [period] we have to guard our minds...along with our hearts. Don't fret ms.badu UR THE BEST!! its true ,,,,,,
0,561,@LoveMeagan it doesn't work your fan is upset ,,,,,,
4,562,"Ahh, the tedium of fixing broken file links in Inventor.  Good times.  ",,,,,,
4,563,@theDebbyRyan  where!!?!? ,,,,,,
4,564,@Laatina MONDAYS ARE WHAT YOU MAKE OF IT. ,,,,,,
4,565,Well in the past two days I have had 45 min. of sleep.  I'm going to watch TV while laying in bed and try to sleep.. Night peepers ,,,,,,
4,566,I'm officially going to bed! Goodnight ,,,,,,
0,567,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. ,,,,,,
0,568,@zaydia but i cant figure out how to get there / back / pay for a hotel etc ,,,,,,
0,569,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN ",,,,,,
4,570,I now have painting clothes!   ,,,,,,
4,571,@msaleem LOL not yet my brutha from anotha mutha ,,,,,,
4,572,ryanrossfanz  &lt,-- FOLLOW THEM!  Ryan is uber!,,,,,
4,573,@JonathanRKnight you close your eyes and pick one and hit reply. ,,,,,,
4,574,@ronashively Connections Academy has been great for our family...and thousands more across the country!  Happy to tell you more ,,,,,,
4,575,"@QUEENIE909 hum nice 1! lol take something..LOL yeah party over there, haha u kno them drunk ass's  Will i b seeing you @ Janets party??",,,,,,
4,576,#nightcard The Star: what a wonderful card for a new beginning both for you and Ankie 1.0  Welcome! ,,,,,,
4,577,Loves the German bakeries in Sydney. Together with my imported honey it feels like home ,,,,,,
0,578,feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.,,,,,,
4,579,I'm an uncle now! ,,,,,,
4,580,@katiehayes415 Levon...couldn't have said it better my self.  ,,,,,,
4,581,"@dmf71 I should change my name to qoosfr (queen of obscure science fiction references) instead of cbn2, which only 1 person understands. ",,,,,,
4,582,@DolfinFan  Our picnic will be fabulous!,,,,,,
4,583,@DaveJMatthews Welcome back to NYC! ,,,,,,
4,584,@nashipear Sorry I am talking to my best friend.. So I havent replied!!  But I can talk to you too!,,,,,,
4,585,@corinmcblide oh ok then i am gonna go and buy one for when i come up there ,,,,,,
4,586,tafe quiz then PHOTOSHOOT with my sezdawg ,,,,,,
4,587,@berofx: good luck with your challenge ,,,,,,
4,588,oh oh found some clothes!!  And i love em xD,,,,,,
4,589,Rocking out to No Doubt and gonna start up some more Neverwinter Nights ,,,,,,
0,590,@ThaStevieG but what I really want is my old bass back ,,,,,,
4,591,"@kameelahwrites phew! all that hair, gyal! ",,,,,,
4,592,keepin it real.  ,,,,,,
0,593,Mad tired today... Callin it in early tonight  nighty night twittas,,,,,,
4,594,&lt,------ Branded ,,,,,
4,595,"I'm adding my fellow PFers.  Nice to see so many of us here, too! ",,,,,,
4,596,Had a good time at Eat n Park drinking a latte and playing Munchkin Impossible with @Chriswolfe2007. ,,,,,,
4,597,@momentbymoment1 - I'm sure you and your site will! ,,,,,,
4,598,@JonathanRKnight Good luck with the cruise!! Your gonna need it! ,,,,,,
4,599,"@glutenfreegirl  well, I'm doing whatever our neighbor tells us, and if that produces vegetables, I'm cooking them!",,,,,,
4,600,"@milagro88 Hi there, Cel.  How are you doing today?",,,,,,
4,601,"@Chubbx Goooooood morning, Chubbx  how are you today?",,,,,,
4,602,@BrittyDS Don't blame me.  I just like good things. ,),,,,,
0,603,"@LevenRambin: Take it easy, and be good to you. ",,,,,,
4,604,@darkknight808 okay! I think little oven again on wednesday!  7-9pm?,,,,,,
4,605,@LoriGama that's most excellent  lotsa people loving you hehe *Winks*,,,,,,
4,606,"@jia_zhen it's an odd little thing isn't it, 'is it from another planet?'.... but i think i like it ",,,,,,
4,607,"amidst all these recession talks, my friend told me yesterday that she got a pay hike  it sure is a nice to hear that.",,,,,,
4,608,is now using windows and tweetdeck... temporarily... ,,,,,,
4,609,I Joined ShoeDazzle Society by @KimKardashian I am Excited! Can't wait for my Shoe selection!  Link: http://www.shoedazzle.com/,,,,,,
4,610,"@robgokeemusic I know - I should have made some, taken them to my meetings &amp; I should have foreseen my sister was going 2 pick up a stray ",,,,,,
4,611,@JonathanRKnight you can DIRECT MESSAGE us/me/all of us...whatever you want ,,,,,,
4,612,@mars2thestars here it is  http://tinyurl.com/hecklerxyz,,,,,,
4,613,Week 2 of the fitness challenge and I'm starting off strong.  Just submitted my stats for the night and it ain't bad ,,,,,,
4,614,Your Following for a Reason.....  www.facesbyrozzj.com,,,,,,
4,615,"I missed twitter, ym, multiply and PET SOCIETY. I haven't been able to use the internet because I was quite busy for the past few days. ",,,,,,
4,616,"@mileycyrus Juz watchin' 3 eps. of your show HM, I must say I instantly became a fan of urs! ;D Lovin' ur humor so mucho! More power 2 u! ",,,,,,
4,617,I have a new background  It didn't exactly work how I wanted but I was bored with the old one.,,,,,,
4,618,If you are at #Paragon please vote my work!  LOL,,,,,,
0,619,I'm afraid I had bad code. ,,,,,,
0,620,Think I'm going to bed. Goodniight. I hate this ,,,,,,
0,621,"@riancurtis  i'm here, friend, and i love you.",,,,,,
0,622,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??,,,,,,
0,623,@aaronrva is in the bathroom and i have to pee!    ,,,,,,
0,624,@ashleyskyy but I wanted a margarita too! ,,,,,,
0,625,@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!,,,,,,
0,626,Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good ,,,,,,
0,627,"has 0g of milky bar left, and around 200ml of coke ",,,,,,
0,628,@jokerrrr It stillllll hasn't arrived ,,,,,,
0,629,"Mraow, I feel like dancing, but first art school wants to rape me some more. ",,,,,,
0,630,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time ,,,,,,
0,631,Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back ,,,,,,
0,632,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,,,,,,
0,633,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",,,,,,
0,634,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!",,,,,,
0,635,Just watched tropic thunder. Dreading tomorrow ,,,,,,
0,636,@qweendassah no...he's still miss'n... ,,,,,,
0,637,ChiefDelphi is down ,,,,,,
0,638,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)",,,,,,
0,639,playing game at home! my new boss didn't call me yet... ,,,,,,
0,640,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t,,,,,,
0,641,Poor Joshy is sick???   those damn tejanos!,,,,,,
0,642,My thoughts are with Sandra Cantu's family at this difficult and sad time ,,,,,,
0,643,"@FranzGlaus I know, just wanted to let everybody know what was happening  ",,,,,,
0,644,Michigan who?  I don't know them.                   *sigh*   Shameful!,,,,,,
0,645,i have to fill two hours ,,,,,,
0,646,"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday ",,,,,,
0,647,@JonathanRKnight Oh! Did I mention it? &quot,Gooooood Moooorniiiiiiing&quot,  from Germany! Im back in my cage....or better...my office ,,,,
0,648,throat is closing up and i had some string cheese. not a good idea ,,,,,,
0,649,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family.",,,,,,
0,650,wishing i was home underneath my covers ,,,,,,
0,651,walking home from school drains all my energy ,,,,,,
0,652,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!",,,,,,
0,653,@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?,,,,,,
0,654,I wish I was better at writing. It's taking me so long to write this paper. ,,,,,,
0,655,..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... ,,,,,,
0,656,"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project.",,,,,,
0,657,@thecoolestout Ha the sun's already gone ,,,,,,
0,658,day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. ,,,,,,
0,659,My man crush Jake Peavy let me down  #gayforpeavy,,,,,,
0,660,"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail ",,,,,,
0,661,michigan state you make me sad ,,,,,,
0,662,omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.,,,,,,
0,663,getting annoyed easily today  &gt,&gt,&gt, biofuel proposal: getting annoyed easily today  &gt,&gt,&gt, biof.. http://tinyurl.com/ceprvs
