SentimentValue,SerialNumber,Tweet,,,,
2,301,@AmericanAir boom. http://t.co/PzGc6Jch7n,,,,
0,302,"@USAirways 30 min delay for mechanics to replace rivets. 30 mins Late Flightr, turns out mechanics had wrong size rivets. 35 more mins. Pathetic",,,,
0,303,@USAirways are there such things as non-delayed flights or na? Get your shit together and get me out of here,,,,
2,304,@USAirways @VincesViews  there are significant number of folks on 686 connecting to 599 a few minutes hold would make many happy,,,,
4,305,@USAirways thanks,,,,
2,306,"@USAirways contact via FB messages, Twitter DM or text?",,,,
0,307,"@USAirways if you mean by posted, no USAir empl to direct anyone, 800# not accepting calls, no contact from USAir re: rebook #greatjob",,,,
4,308,@united you guys have such big hearts.. keep up the good work,,,,
0,309,"@united @czamkoff It's all about profit, and they don't really give a damn about paying customers!!!! #greed",,,,
4,310,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,,,,
0,311,@USAirways might possibly be THE WORST airline ever! I think it's time to brush up on customer service! #sorude,,,,
4,312,@SouthwestAir  Thank you.,,,,
0,313,@USAirways never flying you guys again. your customer service is awful,,,,
0,314,"@USAirways Yes, there is horrible snow. But seriously, can you not hire more people to answer the phones? Competitor have call back numbers.",,,,
2,315,"@united yes, after this awful weather it appears I can get home",,,,
4,316,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :),,,,
0,317,"@USAirways Its not just PHL, at BTV today made to deplane because ""it's Sunday and we don't know if maintenance will be available""",,,,
2,318,“@JetBlue: Our fleet's on fleek. http://t.co/pr3OeBC2N2” lol wut?,,,,
2,319,@AmericanAir please dm me,,,,
4,320,@JetBlue Great thanks,,,,
0,321,"@usairways on hold for TWO HOURS now, pick up the PHONEEEEE",,,,
4,322,@SouthwestAir yes. Thank you. Oct 25-oct 31,,,,
2,323,but why RT @JetBlue: Our fleet's on fleek. http://t.co/W0HOAewhwS,,,,
2,324,Too Late Flight. RT “@JetBlue: Our fleet's on fleek. http://t.co/nJ5Ga1gds5”,,,,
2,325,"“@SouthwestAir: Congrats to these fans who are seeing #DestinationDragons in L.A.! SLC, you're next! http://t.co/YcCITaeP3S” Thanks again SW",,,,
0,326,@united oh I did. Was still lost. Your tracking system stinks as does the delivery system.,,,,
0,327,"@USAirways My family, friends and colleagues will NEVER  fly USAir again. Bad weather happens. The good airlines seem to communicate better.",,,,
2,328,@AmericanAir research buddy. Read my previous tweets and get some context.,,,,
2,329,@AmericanAir 3127. Just landed in LIT.,,,,
4,330,@united I appreciate the follow up.,,,,
2,331,@USAirways Bag policy says stroller OR car seat.  We need to bring 2 car seats and 1 stroller.  Should I just call for details?,,,,
0,332,@united I would like your baggage damage number as well! Another great thing from your 'trained' staff! Whats the number please.. Claim time,,,,
0,333,@united   Pushing 2 hours on hold. Priceless. http://t.co/thS10LDY2a,,,,
0,334,@united Hi there bag ID is UA6016053916 can you update me and explain why is occurred when I arrived 4 hours before flight!,,,,
4,335,@JetBlue @Leopolds_IC  No but my friend in the picture - Phillip Heller (JFK IFC) did and he said it was delicious!,,,,
4,336,@USAirways that's why u guys are my #1 choice.,,,,
0,337,@SouthwestAir No like I said I could not reach anyone at your company so I had to rent a car and chalk the whole thing up to a loss,,,,
4,338,@JetBlue Awesome thanks! Thanks for the quick response. You guys ROCK! :),,,,
0,339,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",,,,
2,340,@AmericanAir um no just hanging out what’s new w you?,,,,
2,341,@AmericanAir no. Prebook flight for wife's 40th bday in NO. I recently have had surgery and can't travel. Won't let another go in my place,,,,
2,342,@JetBlue Thanks.,,,,
2,343,@JetBlue .. { it's all a320's right?},,,,
0,344,@JetBlue still waiting to board and see if they will give us the exit row.,,,,
4,345,@USAirways HA!  You're fun.,,,,
2,346,Alright... Someone has to stop this! RT @JetBlue: Our fleet's on fleek. http://t.co/lchVJoliDg,,,,
0,347,"@USAirways @nburnside26  U hate delays, too?  But u have her $$ &amp; are holding her hostage!  #GoingForGreatnessFAIL",,,,
2,348,@SouthwestAir will do - if you follow back I can DM that info,,,,
4,349,@SouthwestAir you are the #Official airlines of #DivadaPouch aka #ThePoopQueen http://t.co/XXY2d2iMnP,,,,
2,350,@AmericanAir Do you have any flights with lie flat seating from STL to PDX around the date of March 5?,,,,
0,351,@united you guys SUCK! Another Cancelled Flighted flight! Every flight with you has an issue!,,,,
4,352,"@SouthwestAir thank you, someone finally answered and was able to change my flight that was Cancelled Flighted bc of ice. Thank you for response",,,,
2,353,@JetBlue looking to for low rates bos to Vegas in Late Flight June for 3 kids and myself for a sporting event. Any deals or breaks,,,,
0,354,@USAirways @JosephTReis Can't believe advice to call customer service. I was on hold for 3 hrs this morning and finally gave up.,,,,
0,355,@USAirways in 140 characters? Yea right.   Thanks for patronizing.,,,,
2,356,@united can you assist with current flight status for flt# 1016 out of DFW tomorrow at 6:55am?,,,,
0,357,@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.,,,,
0,358,@USAirways I waited customer service 32 minutes on the phone w/o response. Had to hung up in the end since my battery died due to waiting!,,,,
2,359,"@JetBlue my mom always said to never settle. If your chips ain't blue, you just won't do.",,,,
0,360,@USAirways The automated message isn't helpful and it's impossible to speak with a human right now. Desperately need our luggage :(,,,,
4,361,@SouthwestAir for the win as always- saved my day and got me on a direct to Orlando. 🎉🎉🎉,,,,
2,362,@JetBlue Indeed. It was not 😉.,,,,
2,363,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,,,,
0,364,@USAirways now in a black hole of your phone system,,,,
0,365,@JetBlue nope. This 8:45am flight is now not leaving until almost 5pm. 5! I can't believe I paid money for this.,,,,
0,366,@SouthwestAir could I get a phone call from a customer service rep to get the issue resolved?,,,,
2,367,@AmericanAir can I send you my trusted traveler ID to add to my reservation for tsa pre?,,,,
4,368,@VirginAmerica Flying LAX to SFO and after looking at the awesome movie lineup I actually wish I was on a long haul.,,,,
2,369,@AmericanAir See photo of 787 model &amp, our PN 320008A wheel deflator specified in Chapter 32 of B787 AMM. http://t.co/oilnCfWEyg,,,
0,370,@JetBlue how much longer to JFK open's I am a diabetic and I need sugar plane don't have nothing,,,,
0,371,"@USAirways, I know you're dealing with the weather, but @PHLAirport is a hot mess. Pls send reinforcements",,,,
4,372,@SouthwestAir knows whats up! That #BlackHistoryMonth commercial. Just another thing to add to reasons why I fly with #SouthWestAirlines,,,,
2,373,"@united rebooting Chicago dispatch system, need @pivotalcf as I'm tired of sitting on planes",,,,
4,374,@SouthwestAir thanks for your excellent response time and assistance! All set :),,,,
4,375,@JetBlue @roxydigital HAHA. you didn’t disappoint. Well done. #JVMChat,,,,
2,376,@JetBlue would a storage container like this green one be acceptable to check in with luggage? 18Gal totes http://t.co/mJtK2SFuhG,,,,
4,377,@USAirways Dude named Shaquille at the desk in Charlotte was incredibly professional and helpful vs. some crazy angry people tonight,,,,
2,378,@united the person is currently bettween gates 71A and 73 in LAX,,,,
2,379,@USAirways doesn't take into account the $450 it cost 2 rent a car 2 drive home,,,,
2,380,@USAirways can you help chairman? I am on flight 686 PHX connect 599 SJC will miss connection can you reroute please.,,,,
0,381,@JetBlue So what about the plane stuck in Newburgh won't start.  It that weather reLate Flightd as well.  These passengers on plane for 10 hrs.,,,,
0,382,@USAirways flight 1735 sitting fully loaded for over an hour. Air conditioning barely working :-(,,,,
2,383,@SouthwestAir should offer cdn border towns incentive to fly since exchange rates are #hurt. #customerappreciation #gaincustomers #keepem2,,,,
0,384,"@JetBlue after applying my new tag, she left my bag on the ground rather than loading on the conveyer belt..I had to walk back 50 yards",,,,
0,385,@SouthwestAir I have never had such awful customer service and conflicting service. Outrageous.,,,,
4,386,@southwestair #fattuesday Great job celebrating #mardigras today at Atlanta Airport. Another reason I'm nuts for you! http://t.co/8WBzOrRn3C,,,,
2,387,@JetBlue everyone is overreacting. Keep up your swag!,,,,
4,388,@united The only thing you fella have done right today is get me to the pacific time zone.,,,,
4,389,@SouthwestAir I did. Thank you.,,,,
2,390,@USAirways I’d suggest proper information dissemination to all staff on a more timely &amp, relevant schedule to prevent this in the future.,,,
2,391,@SouthwestAir we checked in right at 24hr mark. Boarding C group with kids ages 6&amp,8 dnt want to be split. What sld we do?,,,
2,392,@JetBlue I can't find a good photo of it... You got one? #goodnight,,,,
0,393,"@united broken light, 35 mins to get bridge to gate, airplane parked wrong , bathroom not emptied last night....your airline in last 3 hrs",,,,
2,394,“@JetBlue: Our fleet's on fleek. http://t.co/FVYzjLDTON” 🚶🚶🚶🚶,,,,
2,395,“@JetBlue: Our fleet's on fleek. http://t.co/2UaICFJRmS” no way,,,,
4,396,"@USAirways Awesome USAir, TYSVM &lt;3",,,,
0,397,@USAirways final count 3 hours 24 minutes on hold to be told I need to log in to U.S. Airways website and there was nothing else to be done,,,,
2,398,@AmericanAir what's the best number to use?,,,,
0,399,@USAirways missing our connection due to delay out of @LAS. Told not looking good for tmrw either. We will be stuck in #CLT. Help!,,,,
4,400,"@United Bringing your ""A"" game with premium cabin dining. Nice! https://t.co/zgOQoxjBQY",,,,
2,401,“@JetBlue: Our fleet's on fleek. http://t.co/RkwugmanM9” lmao you know a white person said this,,,,
2,402,😳 LOLOLOLOLOL “@JetBlue: Our fleet's on fleek. http://t.co/YXSwFq9tGP”,,,,
2,403,NO“@JetBlue: Our fleet's on fleek. http://t.co/UgFCKErmrW”,,,,
2,404,"@USAirways US 728 Wait, now a gate opened. Back we go. (Good, maybe we can get off.)",,,,
0,405,@united who authors this fiction? I just heard on radio we don't even have a jetway secured yet #UA5037 #CMH http://t.co/T78k7aBtWF,,,,
0,406,@USAirways 40 minutes in baggage claim and no sign of luggage from our flight. UsAirways- your incompetence is overwhelming,,,,
2,407,@SouthwestAir : thanks.are flights operating now or Cancelled Flightled?,,,,
4,408,@SouthwestAir Great job with the Passbook integration! It’ll really help streamline the commute to San Fran! 😊☕📲✈,,,,
4,409,@JetBlue Thanks for having us hang out at Tampa Airport forever today!!! It's really been an awesome experience,,,,
2,410,@AmericanAir Can I use an SWU on an Finnair codeshare of an American operated flight (JFK-MAN)?  Thanks in advance for the help!,,,,
2,411,@JetBlue when can we start Flight Booking Problems flights for November?,,,,
0,412,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal",,,,
2,413,@USAirways just now but no general announcement,,,,
0,414,@united I assume that would be for the other 300 people who have been let down by United? What's worse is plane is here but crew can't fly!!,,,,
0,415,"@USAirways flight 623 den to phx: flight attdt decides to stay downtown and be an hour Late Flight so entire flight delayed, she better get fired!",,,,
4,416,@SouthwestAir thanks for getting me back to Nashville. Big thanks to the pilots on the 6:15 out of Baltimore. Flying in snow landing on ice.,,,,
0,417,"@JetBlue here's part: was at bag drop inserted my JetBlue cc, didn't print pass. Agent standing in front of me refused to print my pass",,,,
4,418,"@SouthwestAir big thanks to your team. family emerg, same day ticket, experience was excellent. 1st time flying with yall, not my last!",,,,
0,419,@AmericanAir why would I pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?,,,,
0,420,@SouthwestAir    Promotion e-mail today (Vegas and Jamaica) has a defective link for the Vegas sweepstakes...it times out with error.,,,,
0,421,@united Thanks but why did this occur? You guys had 3 hours extra to get my bag on due to your delay. So that's 7 hours you had. #fail!,,,,
2,422,But I don't see AA @united,,,,
2,423,@united Do you have any flights with lie flat seating from STL to PDX around the date of March 5?,,,,
2,424,.@united For those playing along at home: http://t.co/2b4bDTldX2,,,,
4,425,@SouthwestAir - just talking to customer service @united makes me appreciate you even more!  They could learn so much from you!,,,,
0,426,"@united thank you for dishonoring my upgrade and putting me in a seat I didn't want, all while not even notifying me.  Great 1K service 👎",,,,
0,427,@united I bought a ticket yesterday and received a confirmation. Tried to check in and they said I hadn't paid for it. So I called was on,,,,
4,428,@USAirways I totally understand the weather. Just frustrated. Thanks!,,,,
0,429,@USAirways I tried calling for yet another delayed flight and was told the phone line couldn't handle the volume and was hung up on. Twice.,,,,
4,430,@USAirways how about a drink voucher for the next flight?? #winkwink,,,,
4,431,@JetBlue Gary who is serving us at FLL airport counter is really TRUE BLUE! Makes me feel at home even when a JetBlue flight is delayedl,,,,
0,432,@USAirways just hung up on me again.  Another waste of an hour of my time.  How am I supposed to book a one way award flight?  #badwebsite,,,,
4,433,@VirginAmerica I am all about the in flight artisanal cheese and wine pairing.,,,,
4,434,Thanks @JetBlue. Next up we will see how the slog from JFK to the city goes!,,,,
4,435,@SouthwestAir + @twitter  = outstanding customer service!  Thank you!,,,,
0,436,"@JetBlue and have empty ""help"" desks",,,,
2,437,"“@JetBlue: Our fleet's on fleek. http://t.co/g97HAbyeP5”

SMH",,,,
4,438,"@united Thanks, ^KP. Please also mention the Quiche breakfast and Tandoori chicken dinner entrees and accompaniments are truly First Class.",,,,
2,439,@united I can't DM you so here's the confirmation # G8CVWJ - please is there any way I can make it to Kailua tonight? Thank you,,,,
2,440,"@AmericanAir I'd like to explore both options, and what the cost might be to change the date and destination.",,,,
2,441,"@AmericanAir upgraded to 1st class. Inquired about red wine.  ""Sauvignon blanc &amp; I can't pronounce the other one.""  Couldn't describe...",,,,
2,442,@united Please help... I am in Ethiopia adopting a two year old child. Have an existing confirmation #. Need to add child to reservation.,,,,
2,443,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/fW3cy8HGdJ,,,,
2,444,"@USAirways Can you follow, so I can DM you?",,,,
2,445,@jetblue it's time for a direct flight from #JFK to #PITT.... @ Official JetBlue Terminal 5 - New York… http://t.co/QygXGmd3Sn,,,,
2,446,"😒 ""@JetBlue: Our fleet's on fleek. http://t.co/K66SRFnw77”",,,,
4,447,@SouthwestAir always when I fly SW. #loyalRRmember,,,,
0,448,@JetBlue #1691 out of JFK. no one has info &amp, no answers as to why we boarded the plane. the team is in an awkward spot &amp, everyone is cranky,,
2,449,"Now put your baggage fees back on ""free."" RT @JetBlue: Our fleet's on fleek. http://t.co/oxsA8btVTB",,,,
2,450,@JetBlue expanding!  http://t.co/Kk6EixifP5  #Nantucket #Aviation,,,,
0,451,@united this customer service experience will be tweeted for quality assurance.,,,,
2,452,@JetBlue hi I flew with your airline once in Australia and saw zero kangaroos. Had this been rectified,,,,
0,453,@JetBlue no excuse though for 3 gate changes though.,,,,
2,454,@JetBlue lmfao.,,,,
4,455,"Despite Mother Nature's best efforts, @SouthwestAir's good-humored folks got us home safely in an area heavily affected by winter storms.",,,,
0,456,"@united read the thread. I booked 1st class , now seated at 38E even though United Twtr account confirmed Eco Premium.",,,,
4,457,@SouthwestAir JH thank you. I finally got through the second time.,,,,
2,458,"@AmericanAir but my friend was told she was able to use her credit with the airline towards one of my flights, then was told she couldn't.",,,,
4,459,@VirginAmerica you guys are perfect as always! &lt,3 #WeRVirgin,,,
2,460,@VirginAmerica what happened to Doom?!,,,,
4,461,@USAirways Fabulous - thank you so much! Looking forward to taking to the skies with you! :),,,,
2,462,Thanks @united. @imran_r44 had a question about the wait time for baggage on UA6366,,,,
4,463,@united Club in Denver is dope 👌,,,,
0,464,@united feeling like a true united customer stuck.on the tarmac in dc for over 2 hrs. UNITEDFAIL,,,,
2,465,Decisions Decisions @MandarinJourney @united:  We'd love for you to try our service. We offer status match too. http://t.co/xbQqqbRgVF ^KP”,,,,
2,466,“@JetBlue: Our fleet's on fleek. http://t.co/we7Pf5Ll1Y” lol!!!!!,,,,
0,467,@united why don't you de-ice while the plane sits there with no one in it for 2 hours ?? Or we could just delay :/,,,,
0,468,@SouthwestAir What's happened to your customer service? 2 Cancelled Flightled flights in 2 days &amp, an uninformed and unapologetic staff. #nolove #cali,,,
0,469,@united hold for 30 minutes finally got someone and they retook my form of payment and confirmed that my reservation was set. I tried to,,,,
0,470,@united I sent you a DM as requested but have not heard anything. Can you address the issue I brought up in my DM and explain what happened?,,,,
2,471,"@USAirways @HutchinsJim Yes, I made the flight and got my workout in too.",,,,
2,472,@JetBlue Our non-profit ARC would love tickets as we rely on airlines for extractions in saving abducted children and returning them Home!,,,,
4,473,@SouthwestAir I got it added thank you! :),,,,
0,474,@united two hour delay for a plane that was visible from the airport. So far terrible customer service. #neveragain,,,,
2,475,@JetBlue well duh. My grandfather just got hired as a TSA agent and currently at PWM!,,,,
4,476,@SouthwestAir much respect!,,,,
0,477,@USAirways Thanks for Cancelled Flighting my flight tomorrow and not reFlight Booking Problems me on another one. #usairwaysfail,,,,
0,478,“@united: @4geiger It looks like form the photo that something burst out of your luggage. Is this correct? ^JH” always blame the customer,,,,
0,479,@USAirways your people are kind and hardworking the infrastructure you have given them is horrid #massivefail #failphone #fail,,,,
4,480,"@jetblue #philly lost and read program - Our customers get hot tea, great crewmembers, top notch info &amp; now #BOOKS! http://t.co/9rAGncw2Bk",,,,
4,481,@USAirways You all work hard at making sure things flow smoothly. Keeping positive.,,,,
4,482,@united Brandi Zabsonre in Denver deserves a raise for bringing delight into a terrible travel situation. big ups http://t.co/TK3aOpdtSQ,,,,
0,483,@united more people would catch their flights if your attendants had more help!,,,,
2,484,“@JetBlue: Our fleet's on fleek. http://t.co/cRFrwpc1Sx”😂😂😂,,,,
2,485,@JetBlue plan to repair its brand http://t.co/ui9M8YpzH2 via @WSJ,,,,
0,486,"@JetBlue They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!",,,,
4,487,@usairways #crew keeping safety top of mind in CLT. http://t.co/a0YoSJHZMc,,,,
0,488,@USAirways all these planes sitting here and no one going home. #usairwaysfail http://t.co/jN3V3k3qGv,,,,
2,489,@SouthwestAir need assistance getting an extension on a flight that has expired.,,,,
4,490,"@united no worries about the tweets. We all should do what we can to make sure we, as in your tag line, ""Fly the Friendly Skies.""",,,,
2,491,@AmericanAir our flight attendant announced that we have transportation waiting for us for that flight so I think we'll make it.,,,,
2,492,@SouthwestAir Is it possible to add companion to only the 2nd leg of a trip?,,,,
2,493,“@JetBlue: Our fleet's on fleek. http://t.co/4LlWi5oxvO” lmfaooooo hook me up with a flight!,,,,
2,494,"@united @scotthroth scott, need a good book suggestion?",,,,
2,495,“@JetBlue: Our fleet's on fleek. http://t.co/M2wSg2olgo” -_-,,,,
0,496,@united it's boarding time for ua3882 but no crewe,,,,
2,497,"@AmericanAir daughter record loc. is KYBILC. She is traveling with 3 y.o. and needs to be in adjacent seats, not across isle.",,,,
4,498,"@SouthwestAir thanks for the reply, something is off with the phones becuz after 2 dropped calls at 2 hours on hold, I got through on 1 ring",,,,
4,499,@JetBlue it's okay...I'm actually a tea kinda guy anyway. Thanks!,,,,
4,500,@JetBlue And we are glad to see what is going on and fix! @ProfessorpaUL15: please DM me your confirmation # so we can check.,,,,
0,501,@united flight 5903 stranded on Tarmac in Chicago. No gates available?! Plane getting very hot and uncomfortable.,,,,
4,502,@SouthwestAir On my flight today from RSW to GRR I was able to snag a free SW Agent to check for me. It looks like we are (finally) all set.,,,,
0,503,"@JetBlue  hmmm it says im following you. We just got de-iced, but still haning around for the runway to clear..",,,,
2,504,@AmericanAir We've sent you more info via DM.  I truly hope you resolve this very quickly. #media #filmcrew #cnn #nbc,,,,
0,505,@USAirways telling a man theres NO FLIGHTS for the next 10 hrs!!! NO standby! NOTHING! NO OPTIONS! trying to get to sick child! #FireVan!,,,,
2,506,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",,,,
2,507,@AmericanAir yes....twice...for two different flights and occasions,,,,
4,508,@JetBlue thank you!! Miss you all so so much!! Is this the link to the blog? Or has that changed?,,,,
0,509,@USAirways your customer service is atrocious.,,,,
4,510,@SouthwestAir All pieces were found and safely delivered to our home this afternoon.,,,,
0,511,@united not for me.  I am on another Ua flight 2 gates down that was held 15 mins for cnx pax.,,,,
2,512,@USAirways trying to book award travel leaving on red-eye Sunday night after midnight. Should I book the date in Sunday or Monday?,,,,
4,513,"@SouthwestAir thanks, got put on the am flight tomorrow.  Don't have much faith it'll get off the ground tomorrow though.",,,,
2,514,X__x RT @JetBlue: Our fleet's on fleek. http://t.co/xxppZo88j1,,,,
0,515,"@united You cause me to miss my flight telling me it already left when it had not. No empathy from gate staff or crew, no apology. Really?",,,,
2,516,"@AmericanAir so, what should he do next exactly?!",,,,
0,517,@USAirways Past tense re help. No more. It’s been even more miserable than usual at CLT.,,,,
2,518,@AmericanAir DM sent,,,,
0,519,@united so many delays today...What's up with that? Hoping my 12:26pm flight boards soon. #United #premier1K,,,,
2,520,@AmericanAir Flight Get Me Out Of Chicago.,,,,
2,521,@AmericanAir I've tried...its @USAirways anyway,,,,
2,522,"@united did you have seen my message today?? About a mcdonnell Douglas dc 10 model?? I will hear it if you read it, Goodnight now",,,,
2,523,“@JetBlue: Our fleet's on fleek. http://t.co/Vxn2J36M7V” this happened,,,,
2,524,@AmericanAir Is there a way I can get a record of all the flights I've taken with you?,,,,
0,525,@VirginAmerica is the website down?,,,,
2,526,"@JetBlue Or...

....how about a 1way LAX-NYC(area) under 190?! Is this possible ?",,,,
2,527,@SouthwestAir No monkey business we luv SWA!! #mdw2mci #homeandreadyfornexttrip http://t.co/2xJvUn66ZZ,,,,
0,528,@USAirways your service sucks.,,,,
0,529,@USAirways Flight 4210 been sitting @Bradley_Airport gate 27 for 10 min w door open since we arrived. Still no jet bridge. Can someone help?,,,,
4,530,@united - I think she was having a rough moment w/ a bad passenger from an earlier flight. Things got considerably better. Thanks!,,,,
0,531,@JetBlue your app needs updating. Says my flight is on time when we are well past boarding time with 2hr delay http://t.co/BTvpxTZJu0,,,,
0,532,@united 30 hours Late Flightr still no answers stuck in Houston. Keep getting put on phantom flights that never apeared. #BadCustomerService,,,,
0,533,@USAirways needs to hire more people http://t.co/3LPVFhKy2F,,,,
4,534,@SouthwestAir No worries at all!!! I would rather be safe on the ground than take any chances. Yes! Tomorrow AM if BNA reopens ☺️,,,,
2,535,Welllllll.... RT @JetBlue: Our fleet's on fleek. http://t.co/dHHomG2kiX,,,,
0,536,@united severely under staffed at Iah.,,,,
4,537,@USAirways YOU ARE THE BEST AIRWAYS!!! FOLLOW ME PLEASE,)🙏🙏🙏✌️✌️✌️🙏🙏🙏,,,
2,538,@USAirways Hi guys! Are flights 5594 and 3937 still on time? The site and app are both down and I can't check. Thanks!,,,,
2,539,RT @JetBlue: Our fleet's on fleek. http://t.co/826Pkiq5HI,,,,
4,540,@JetBlue Seems very likely.,,,,
4,541,@VirginAmerica wifi AND better seating.,,,,
2,542,😩😂😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/yco9dikpt9”,,,,
4,543,"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",,,,
2,544,"@United States faundation was by faith Judeo Cristian,@Not it was by ideologias.@ http://t.co/mWBk68k0A3",,,,
2,545,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",,,,
0,546,@USAirways Uh yeah. Flight boarded &amp, now 1 hr Late Flightr we still sit. Update on 4435 to DCA?,,,
2,547,@AmericanAir fl 249 to DFW is leaving Newark on time but is going to Nashville first.  Will I get stuck in Nashville?,,,,
2,548,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,,,,
4,549,@united Got me home amid snow &amp, Cancelled Flightlations, delivered bag w/o hassle, plus no wait on phone &amp, an upgrade. Thank you!
0,550,@United rescheduled my return flight from #Japan?  Uh why?  Trying to call #UnitedAirlines #customerservice - 45 min wait.  #fun,,,,
0,551,@united they let us board again but will we fly this time? Who knows! #shouldhaveflowndelta,,,,
4,552,@united looks like I'm settled in to where I'm going.  Thx.,,,,
4,553,@USAirways thanks!,,,,
2,554,"@JetBlue can your people working this contact me, I have a project in the works.",,,,
4,555,@SouthwestAir Thanks for the response. Was able to get my situation resolved. Not a fan of Mother Nature today. :),,,,
4,556,@JetBlue Thanks! Her flight leaves at 2 but she's arriving to the airport early. Wedding is in VT in Sept. Grateful you fly to BTV!! :),,,,
0,557,@USAirways you should get better employees✌️,,,,
4,558,@JetBlue thank you for help and quick response,,,,
2,559,@AmericanAir I was going to change it to tomorrow because I am concerned if the fllight does make I won't be able to leave the airport   1/2,,,,
2,560,"@JetBlue No, it's weird!! I picked other cities just to test, those worked...not the one I want. Works on phone though, so I'll use that.",,,,
4,561,@JetBlue I will. I love flying with you all. Great service.,,,,
4,562,@JetBlue so happy you can accommodate peanut/treenut allergies on flight! 1st online cover from air provider,,,,
0,563,.@JetBlue thanks for making an effort. Credit where credit is due: flight 795 delayed 5 hours instead of 8 hours. #fwiw #loweredexpectations,,,,
2,564,@united @retailbagholder hahaha. At least they gave u a refund.,,,,
2,565,@SouthwestAir : Hello..are flights taking off from @DallasLoveField airport this noon. Am supposed to travel on flight 376 to San antonio,,,,
0,566,@USAirways  where's my bag?  In line 200 deep at DCA. Agents say call 800 #.  800# says talk to agents. Abysmal customer service,,,,
2,567,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/IMVMpnQXAI,,,,
0,568,@SouthwestAir Flight 52 got Cancelled Flightled 6 hrs before takeoff. No Customer Service. Been on hold for 30 minutes.,,,,
2,569,"@united hi guys, do you have a general enquires email address please? Thanks David.",,,,
4,570,@united Thanks!,,,,
4,571,@united You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :),,,,
2,572,@JetBlue ...really?,,,,
2,573,Why we can't have nice things. RT @JetBlue: Our fleet's on fleek. http://t.co/HP9RPPCvHx,,,,
0,574,"@united 100% I will put together a very serious email, with all the issues that arose on our vacation due to your staff I will post it here",,,,
4,575,@VirginAmerica I don’t use Passbook =/ I still love you though &lt,3 :) I’ll just use my email in the future.,,,
0,576,@united after 6 hour plus delay from #WashingtonDC finally on flight to #Edinburgh all very tired,,,,
0,577,"@SouthwestAir I tried for 5hrs to contact SW! Twitter, fb, phone, email w/ no reply. 24hrs Late Flightr u respond, what could you do at this point?",,,,
2,578,@AmericanAir the Late Flightst usair4603. Earlier 4591,,,,
4,579,@united :take note of this great example of @JetBlue actually making good for an extremely inconvenient situation. http://t.co/t3Gnk2N7LD,,,,
2,580,@AmericanAir it was 639,,,,
0,581,@united Adding reservation to iOS app doesn't show up on desktop site when logged in. And miles can't be redeemed for upgrades thru your app,,,,
0,582,@USAirways @corybronze  INCONVENIENCE? Are you people freaking nuts? This guy has TWO KIDS WITH HIM and you STRAND him in an airport! #FAIL,,,,
0,583,@USAirways no one is coming to line. On hold for 4 hours. Can u help here if I provide conf code?,,,,
4,584,@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!,,,,
2,585,@AmericanAir Is my friends flight 386 from JAX to DFW Cancelled Flighted?,,,,
2,586,Oh yeah? RT @JetBlue: Our fleet's on fleek. http://t.co/FTv2NWWQF1”,,,,
0,587,@JetBlue no baggage crew update!  Your staff is incompetent with no answers after 2 hours....,,,,
0,588,@USAirways Your customer service line keeps telling me call back Late Flightr and disconnects. How can I talk to someone about my flight?,,,,
0,589,Only 14 biz days (18 calendar) to respond to my inquiry @united ?  I hope your standards are universally adopted :-/ #BadCustomerService,,,,
2,590,@SouthwestAir my ticket was booked 1/27 to CUN. Does the arrival time reflect that CUN is now on EST time?,,,,
2,591,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",,,,
0,592,"@SouthwestAir no after 75 mins of hold, I finally hung up! Ridiculous wait times. Can you assist in Cancelled Flighting reservation?",,,,
4,593,@united You delayed a connection for customer service today now I'll be able to pay my final respects to a dear family member. Thank you :),,,,
2,594,STAHP!! 😂😂😭😭😭😭 RT @JetBlue Our fleet's on fleek. http://t.co/BM2unRaOnI,,,,
4,595,@united thanks! :),,,,
